name,description,col_type,sort_order,database,cluster,schema,table_name
demographics.education_university.degree,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_unknown,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
no_previous_contact,"No previous contact if yes then 1 else 0","int",1,snowflake,gold,feature_group,mktg_model_v1
not_working,"Currentlt working and employed, if yes then 1 else 0","int",1,snowflake,gold,feature_group,mktg_model_v1
default_no,"Has credit in default? (categorical: 'no', 'unknown', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
default_unknown,"Has credit in default? (categorical: 'no', 'unknown', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
default_yes,"Has credit in default? (categorical: 'no', 'unknown', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
housing_no,"Has housing loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
housing_unknown,"Has housing loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
housing_yes,"Has housing loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
loan_no,"Has personal loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
loan_unknown,"Has personal loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
loan_yes,"Has personal loan? (categorical: 'no', 'yes', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
contact_cellular,"Contact communication type (categorical: 'cellular', 'telephone', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
contact_telephone,"Contact communication type (categorical: 'cellular', 'telephone', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_apr,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_aug,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_dec,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_jul,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_jun,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_mar,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_may,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_nov,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_oct,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
month_sep,"Last contact month of year (categorical: 'may', 'nov', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
day_of_week_fri,"Last contact day of the week (categorical: 'mon', 'fri', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
day_of_week_mon,"Last contact day of the week (categorical: 'mon', 'fri', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
day_of_week_thu,"Last contact day of the week (categorical: 'mon', 'fri', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
day_of_week_tue,"Last contact day of the week (categorical: 'mon', 'fri', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
day_of_week_wed,"Last contact day of the week (categorical: 'mon', 'fri', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
